0000;118;H=95;T=23;Hs=54.11472;sp=2;sf=12;lost_time=0;rx_timestamp=805535154; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;122;H=95;T=22;Hs=54.11472;sp=2;sf=12;lost_time=0;rx_timestamp=2007089514; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;126;H=95;T=22;Hs=54.11472;sp=2;sf=12;lost_time=0;rx_timestamp=3208644506; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;130;H=95;T=22;Hs=53.93659;sp=2;sf=12;lost_time=0;rx_timestamp=115234444; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;134;H=95;T=22;Hs=54.75597;sp=2;sf=12;lost_time=1;rx_timestamp=1316793748; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;138;H=94;T=21;Hs=54.72034;sp=2;sf=12;lost_time=0;rx_timestamp=2518351579; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;142;H=94;T=21;Hs=54.22159;sp=2;sf=12;lost_time=0;rx_timestamp=3719907673; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;146;H=95;T=22;Hs=53.72283;sp=2;sf=12;lost_time=0;rx_timestamp=626499746; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;150;H=49;T=35;Hs=55.04097;sp=2;sf=12;lost_time=0;rx_timestamp=405910579; rssi=-108; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;154;H=61;T=31;Hs=54.47097;sp=2;sf=12;lost_time=0;rx_timestamp=1609542233; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
