0000;197;H=52;T=34;Hs=55.43285;sp=2;sf=7;lost_time=0;rx_timestamp=1661302747; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;205;H=51;T=34;Hs=55.46847;sp=2;sf=7;lost_time=0;rx_timestamp=4064413295; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;209;H=54;T=32;Hs=55.14785;sp=2;sf=7;lost_time=0;rx_timestamp=970996242; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;213;H=63;T=29;Hs=54.7916;sp=2;sf=7;lost_time=0;rx_timestamp=2172554536; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;217;H=77;T=26;Hs=55.18347;sp=2;sf=7;lost_time=1;rx_timestamp=3374108434; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;221;H=73;T=25;Hs=55.14785;sp=2;sf=7;lost_time=0;rx_timestamp=280705918; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;225;H=78;T=24;Hs=54.29284;sp=2;sf=7;lost_time=0;rx_timestamp=1482265457; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;229;H=85;T=24;Hs=54.29284;sp=2;sf=7;lost_time=0;rx_timestamp=2683818671; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;233;H=90;T=24;Hs=54.07909;sp=2;sf=7;lost_time=0;rx_timestamp=3885439500; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;237;H=94;T=24;Hs=54.72034;sp=2;sf=7;lost_time=0;rx_timestamp=792030659; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;241;H=95;T=24;Hs=54.07909;sp=2;sf=7;lost_time=0;rx_timestamp=1993583537; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
