2024-07-06 13:01:49.721949;5;H=67;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3616282646; rssi=-55; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:02:12.720961;7;H=78;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3639574603; rssi=-65; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:02:36.303831;9;H=88;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3662864559; rssi=-82; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:02:59.417686;11;H=81;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3686159550; rssi=-71; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:03:24.789436;13;H=89;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3711526507; rssi=-62; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;15;H=90;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3734819475; rssi=-61; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;17;H=90;T=28;Hs=26.86142;sp=20;sf=7;rx_timestamp=3758115632; rssi=-71; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:04:34.255586;19;H=87;T=28;Hs=29.03456;sp=20;sf=7;rx_timestamp=3781412602; rssi=-72; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:04:57.751818;21;H=77;T=27;Hs=30.56644;sp=20;sf=7;rx_timestamp=3804704559; rssi=-81; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:05:21.243105;23;H=77;T=27;Hs=31.31457;sp=20;sf=7;rx_timestamp=3827995531; rssi=-75; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:05:44.886853;25;H=78;T=27;Hs=31.88457;sp=20;sf=7;rx_timestamp=3851293505; rssi=-77; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:06:07.725538;27;H=79;T=27;Hs=32.38333;sp=20;sf=7;rx_timestamp=3874585468; rssi=-77; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:06:31.215517;29;H=78;T=27;Hs=32.56145;sp=20;sf=7;rx_timestamp=3897875441; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:06:54.218318;31;H=79;T=27;Hs=33.41646;sp=20;sf=7;rx_timestamp=3921173408; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:07:17.708906;33;H=79;T=27;Hs=33.59458;sp=20;sf=7;rx_timestamp=3944465376; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:07:41.305892;35;H=77;T=27;Hs=33.59458;sp=20;sf=7;rx_timestamp=3967755339; rssi=-102; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:08:03.808732;37;H=75;T=27;Hs=33.66583;sp=20;sf=7;rx_timestamp=3991053311; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:08:27.288770;39;H=77;T=27;Hs=34.05771;sp=20;sf=7;rx_timestamp=4014345278; rssi=-103; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:08:50.785562;41;H=78;T=27;Hs=33.95084;sp=20;sf=7;rx_timestamp=4037635255; rssi=-113; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:09:13.799337;43;H=77;T=27;Hs=34.12897;sp=20;sf=7;rx_timestamp=4060958221; rssi=-112; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:10:25.227053;49;H=75;T=27;Hs=34.05771;sp=20;sf=7;rx_timestamp=4130884136; rssi=-123; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:12:43.787989;61;H=73;T=28;Hs=34.16459;sp=20;sf=7;rx_timestamp=4270641007; rssi=-124; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:13:30.268707;65;H=74;T=28;Hs=34.16459;sp=20;sf=7;rx_timestamp=22254658; rssi=-122; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:14:16.755102;69;H=71;T=28;Hs=33.80834;sp=20;sf=7;rx_timestamp=68842612; rssi=-123; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:17:02.296384;83;H=73;T=28;Hs=34.12897;sp=20;sf=7;rx_timestamp=233980466; rssi=-121; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:17:48.291139;87;H=73;T=29;Hs=33.77271;sp=20;sf=7;rx_timestamp=280569419; rssi=-121; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:18:11.791436;89;H=73;T=29;Hs=33.98646;sp=20;sf=7;rx_timestamp=303859408; rssi=-122; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:18:35.285637;91;H=70;T=29;Hs=34.05771;sp=20;sf=7;rx_timestamp=327168380; rssi=-117; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:20:54.745995;103;H=70;T=28;Hs=33.59458;sp=20;sf=7;rx_timestamp=466926333; rssi=-116; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
